,Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
273,Lenovo,2 in 1 Convertible,14.0,2560x1440,16,Windows,1.36,1,0,Intel Core i7,512,0,0,Intel,224910.0
564,Asus,Notebook,15.6,1920x1080,8,Windows,2.5,0,0,Intel Core i5,1128,1000,0,Nvidia,75510.0
830,Razer,Gaming,17.3,3840x2160,32,Windows,3.49,1,0,Intel Core i7,512,0,0,Nvidia,494910.0
122,Lenovo,Notebook,15.6,1920x1080,8,No ,2.2,0,0,Intel Core i5,256,0,0,Nvidia,56610.0
774,HP,Ultrabook,12.5,1366x768,4,Windows,1.26,0,0,Intel Core i5,256,0,0,Intel,111960.0
690,Acer,Notebook,14.0,1366x768,4,Chrome ,1.45,0,0,Other Intel,0,0,32,Intel,33750.0
576,Toshiba,Ultrabook,14.0,1920x1080,16,Windows,1.24,1,0,Intel Core i7,512,0,0,Intel,167850.0
98,Asus,Notebook,15.6,1920x1080,6,Windows,2.0,0,0,Intel Core i3,256,0,0,Nvidia,51930.0
1044,HP,Notebook,14.0,1920x1080,4,Windows,1.54,0,0,Intel Core i5,0,500,0,Intel,90000.0
679,Acer,Gaming,15.6,1920x1080,16,Windows,2.5,0,0,Intel Core i5,256,0,0,Nvidia,116910.0
1053,HP,Notebook,15.6,1366x768,4,Windows,2.04,0,0,Intel Core i5,256,0,0,Intel,88110.0
928,Dell,Notebook,15.6,1366x768,4,Windows,2.18,0,0,Intel Core i5,0,1000,0,Intel,63725.4
619,Acer,2 in 1 Convertible,11.6,1366x768,4,Chrome ,1.25,1,1,Other Intel,0,0,32,Intel,34110.0
780,Dell,Gaming,17.3,1920x1080,32,Windows,4.42,0,1,Intel Core i7,2000,1000,0,Nvidia,322992.0
460,Acer,Notebook,15.6,1920x1080,4,Windows,2.23,0,0,Intel Core i3,0,1000,0,Nvidia,48960.0
1150,Lenovo,Notebook,15.6,1366x768,4,No ,1.9,0,0,Intel Core i3,0,1000,0,Intel,30510.0
538,HP,Gaming,17.3,1920x1080,12,Windows,2.62,0,0,Intel Core i7,0,1000,0,Nvidia,161910.0
328,HP,Ultrabook,12.5,1920x1080,8,Windows,1.26,0,0,Intel Core i7,256,0,0,Intel,120150.0
279,Lenovo,Notebook,17.3,1920x1080,8,No ,2.8,0,0,Intel Core i7,0,2000,0,Nvidia,76410.0
113,HP,Notebook,14.0,1366x768,4,Windows,1.63,0,1,Intel Core i5,0,500,0,Intel,64980.0
421,Chuwi,Notebook,12.3,2736x1824,6,Windows,1.4,0,1,Other Intel,0,0,64,Intel,40410.0
1096,Dell,Notebook,15.6,1920x1080,8,Windows,2.36,0,0,Intel Core i5,0,1000,0,AMD,57491.99999999999
959,Acer,2 in 1 Convertible,11.6,1366x768,4,Chrome ,1.25,1,1,Other Intel,0,0,32,Intel,35010.0
444,HP,Gaming,15.6,1920x1080,8,Windows,2.2,0,1,Intel Core i7,1128,1000,0,Nvidia,98910.0
308,Lenovo,Notebook,15.6,1920x1080,8,Windows,2.3,0,0,Intel Core i5,1128,1000,0,Nvidia,73710.0
83,Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,AMD processor,128,0,0,AMD,35910.0
1270,Lenovo,2 in 1 Convertible,14.0,1920x1080,4,Windows,1.8,1,1,Intel Core i7,128,0,0,Intel,57420.0
1086,HP,Workstation,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i7,256,0,0,AMD,134550.0
674,HP,2 in 1 Convertible,14.0,1920x1080,4,Windows,1.63,1,1,Intel Core i3,128,0,0,Nvidia,62910.0
123,HP,Notebook,17.3,1920x1080,16,Windows,2.5,0,0,Intel Core i7,512,0,0,Nvidia,114390.0
1149,Lenovo,2 in 1 Convertible,14.0,2560x1440,8,Windows,1.27,1,1,Intel Core i7,256,0,0,Intel,210510.0
889,Lenovo,Notebook,17.3,1600x900,4,Windows,2.8,0,0,AMD processor,0,500,0,AMD,34110.0
463,Lenovo,Notebook,14.0,1920x1080,8,No ,1.5,0,1,Intel Core i7,512,0,0,AMD,71910.0
126,HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i5,0,1000,0,Intel,73080.0
33,Dell,Ultrabook,13.3,3200x1800,16,Windows,1.2,1,0,Intel Core i7,512,0,0,Intel,168210.0
489,Asus,Ultrabook,12.5,1920x1080,16,Windows,0.91,0,0,Intel Core i7,512,0,0,Intel,175500.0
430,Samsung,Netbook,11.6,1366x768,4,Chrome ,1.15,0,0,Other Intel,0,0,16,Intel,24210.0
500,Asus,Netbook,11.6,1366x768,4,Windows,1.2,0,0,Other Intel,0,0,64,Intel,30600.0
749,HP,Workstation,17.3,1920x1080,16,Windows,3.0,0,1,Other Intel,256,0,0,Nvidia,395010.0
622,Dell,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i5,0,1000,0,AMD,69840.0
881,HP,2 in 1 Convertible,15.6,1366x768,4,Windows,2.3,1,0,Intel Core i5,0,500,0,Intel,61631.99999999999
23,Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.62,1,0,Intel Core i5,256,0,0,Intel,73710.0
917,MSI,Gaming,17.3,1920x1080,16,Windows,2.7,0,0,Intel Core i7,1256,1000,0,Nvidia,143910.0
401,Asus,Gaming,17.3,1920x1080,16,Windows,2.9,0,0,Intel Core i7,1256,1000,0,Nvidia,137610.0
941,Asus,Notebook,17.3,1600x900,4,Windows,2.8,0,0,Other Intel,0,1000,0,Nvidia,47700.0
1123,Dell,Notebook,15.6,1366x768,4,Linux,2.09,0,0,Intel Core i5,0,500,0,Intel,47126.7
17,Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,512,0,0,AMD,257220.0
969,Lenovo,Notebook,15.6,1920x1080,6,Windows,2.4,0,0,Intel Core i5,256,0,0,Nvidia,62550.0
344,Dell,Ultrabook,13.3,1920x1080,8,Windows,1.2,0,0,Intel Core i7,256,0,0,Intel,142110.0
968,Dell,Gaming,17.3,1920x1080,32,Windows,4.42,0,1,Intel Core i7,1256,1000,0,Nvidia,283410.0
1095,Acer,Notebook,15.6,1920x1080,8,Windows,2.4,0,0,Intel Core i5,1256,1000,0,Nvidia,71910.0
1051,HP,Notebook,15.6,1920x1080,8,Windows,1.91,0,1,Intel Core i7,0,1000,0,Nvidia,88110.0
423,Asus,Notebook,15.6,1920x1080,8,Linux,2.3,0,0,Intel Core i3,0,1000,0,Nvidia,53730.0
570,HP,Workstation,17.3,1600x900,8,Windows,3.14,0,0,Intel Core i5,0,500,0,Nvidia,167489.1
43,Acer,Notebook,15.6,1920x1080,4,Windows,2.2,0,1,Intel Core i5,256,0,0,Intel,61380.0
620,HP,Notebook,14.0,1366x768,8,Windows,2.31,0,0,Intel Core i5,256,0,0,Intel,101160.0
1052,Dell,2 in 1 Convertible,15.6,1920x1080,8,Windows,2.3,1,1,Intel Core i5,256,0,0,Intel,98460.0
539,Lenovo,Notebook,14.0,1920x1080,8,Windows,1.87,0,1,Intel Core i7,256,0,0,Nvidia,77310.0
290,Acer,Notebook,15.6,1366x768,2,Chrome ,2.19,0,0,Other Intel,16,0,0,Intel,17910.0
520,Lenovo,Gaming,15.6,1920x1080,8,Windows,3.2,0,1,Intel Core i7,1256,1000,0,Nvidia,125910.0
639,Dell,Notebook,15.6,3840x2160,16,Windows,2.06,1,0,Intel Core i7,1000,0,0,Nvidia,215910.0
27,Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i5,256,0,0,AMD,72000.0
1001,HP,Notebook,13.3,1920x1080,8,Windows,1.34,0,1,Intel Core i5,256,0,0,Intel,107010.0
465,Asus,Notebook,15.6,1366x768,4,Windows,2.0,0,0,Other Intel,0,500,0,Intel,27360.0
1266,HP,Notebook,15.6,1920x1080,6,Windows,2.04,0,0,AMD processor,0,0,0,AMD,49499.1
0,Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,128,0,0,Intel,120572.1
642,Lenovo,Ultrabook,14.0,1920x1080,16,Windows,1.14,0,1,Intel Core i7,512,0,0,Intel,220500.0
1234,Apple,Ultrabook,11.6,1366x768,4,Mac,1.08,0,0,Intel Core i5,0,0,256,Intel,86310.0
1205,Dell,Notebook,15.6,1920x1080,8,Windows,2.36,0,0,Intel Core i5,256,0,0,AMD,80010.0
99,HP,Gaming,15.6,1920x1080,12,Windows,2.62,0,1,Intel Core i7,1128,1000,0,Nvidia,112410.0
800,HP,Workstation,15.6,1920x1080,8,Windows,3.14,0,0,Intel Core i7,256,0,0,Nvidia,185841.0
897,HP,Notebook,15.6,1920x1080,8,Windows,2.04,0,0,Intel Core i7,0,1000,0,Nvidia,81000.0
1167,Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i3,0,1000,0,Nvidia,42120.0
63,Asus,Notebook,14.0,1920x1080,8,Windows,1.4,0,0,Intel Core i5,256,0,0,Intel,84690.0
558,HP,Notebook,15.6,1920x1080,6,Windows,1.91,0,1,AMD processor,128,0,0,AMD,51201.0
1119,Asus,Gaming,17.3,1920x1080,8,Windows,3.52,0,0,Intel Core i7,1128,1000,0,Nvidia,118124.1
224,Dell,Gaming,17.3,1920x1080,16,Windows,4.42,0,1,Intel Core i7,1256,1000,0,Nvidia,221070.6
185,Dell,Notebook,17.3,1920x1080,16,Windows,2.77,1,0,Intel Core i7,512,0,0,Nvidia,139410.0
1138,MSI,Gaming,17.3,1920x1080,16,Windows,3.78,0,0,Intel Core i7,1256,1000,0,Nvidia,215910.0
163,Lenovo,Gaming,15.6,1920x1080,16,Windows,2.5,0,1,Intel Core i7,256,0,0,Nvidia,97110.0
1217,Lenovo,Notebook,17.3,1600x900,8,No ,2.8,0,0,Intel Core i5,0,1000,0,Intel,48510.0
1102,Acer,Notebook,15.6,1366x768,4,Chrome ,2.2,0,0,Other Intel,16,0,0,Intel,18810.0
299,Asus,Ultrabook,15.6,1920x1080,16,Windows,1.63,0,0,Intel Core i7,512,0,0,Nvidia,132120.0
415,Dell,Notebook,15.6,1920x1080,4,Linux,2.3,0,0,Intel Core i5,256,0,0,AMD,53901.0
